"date","n","avg"
2016-12-28,1826,260.857142857143
2016-12-29,1177,429
2016-12-30,908,558.714285714286
2016-12-31,5,559.428571428571
2017-01-01,34,564.285714285714
2017-01-02,2,564.571428571429
2017-01-03,1979,847.285714285714
2017-01-04,2525,947.142857142857
2017-01-05,2485,1134
2017-01-06,2032,1294.57142857143
2017-01-08,12,1290.71428571429
2017-01-09,2653,1669.42857142857
2017-01-10,2746,1779
2017-01-11,2761,1812.71428571429
2017-01-12,2534,1819.71428571429
2017-01-13,2261,1852.42857142857
2017-01-15,2,1851
2017-01-16,2688,1856
2017-01-17,2905,1878.71428571429
2017-01-18,2604,1856.28571428571
2017-01-19,2549,1858.42857142857
2017-01-20,1917,1809.28571428571
2017-01-23,3706,1954.42857142857
2017-01-24,3069,1977.85714285714
2017-01-25,2716,1993.85714285714
2017-01-26,2277,1955
2017-01-27,2397,2023.57142857143
2017-01-29,5,2024.28571428571
2017-01-30,3240,1957.71428571429
2017-01-31,2343,1854
2017-02-01,2533,1827.85714285714
2017-02-02,2445,1851.85714285714
2017-02-03,2554,1874.28571428571
2017-02-06,3451,1903.71428571429
2017-02-07,3269,2036
2017-02-08,2794,2073.28571428571
2017-02-09,2735,2114.71428571429
2017-02-10,2395,2092
2017-02-13,3286,2068.42857142857
2017-02-14,2705,1987.85714285714
2017-02-15,2610,1961.57142857143
2017-02-16,2665,1951.57142857143
2017-02-17,2544,1972.85714285714
2017-02-20,2734,1894
2017-02-21,2555,1872.57142857143
2017-02-22,2597,1870.71428571429
2017-02-23,2856,1898
2017-02-24,2348,1870
2017-02-25,896,1998
2017-02-27,2245,1928.14285714286
2017-02-28,2686,1946.85714285714
2017-03-01,2559,1941.42857142857
2017-03-02,3111,1977.85714285714
2017-03-03,2271,1966.85714285714
2017-03-04,1005,1982.42857142857
2017-03-06,2612,2034.85714285714
2017-03-07,3178,2105.14285714286
2017-03-08,2698,2125
2017-03-09,2718,2068.85714285714
2017-03-10,2468,2097
2017-03-11,23,1956.71428571429
2017-03-13,2861,1992.28571428571
