Guildford Borough Council - Business Rates information as at 1 April 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This file contains information on rateable values, charges, reliefs and ratepayers as at 1 April 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For additional information please see https://www.guildford.gov.uk/businessrates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place Ref,Property Addr 1,Property Addr 2,Property Addr 3,Property Addr 4,Property Addr 5,Property Post Code,Property Description,31/03/2017 Rateable Value,31/03/2023 Rateable Value,Current Rateable Value,Annual Charge,Transitional Reduction,Empty (Y/N) or Not Available (N/A),Date Fell Empty,Empty Exemption,Small Business Rate Relief (Y/N),Mandatory Relief (Y/N),Mandatory Relief %,Discretionary Relief (Y/N),Discretionary Relief %,Rural Rate Relief Y/N,Supporting Small Business Relief,Retail Discount Y/N,Name,Correspondence Addr 1,Correspondence Addr 2,Correspondence Addr 3,Correspondence Addr 4,Correspondence Addr 5,Correspondence Post Code
010020078,Right Hand Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH,OFFICES AND PREMISES,"5,400","7,900","9,300","4,553.13",87.57,N,,,Y,N,0,N,0,N,N,N,Ashgrove Homes Ltd,Right Hand Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH
010020079,Centre Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"5,700","8,400","9,800","4,841.30",48.90,N,,,N,N,0,N,0,N,N,N,Ashgrove Homes Western Limited,Centre Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020081,Left Hand Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"5,600","8,200","9,600","4,726.03",64.37,N,,,Y,N,0,N,0,N,N,N,Wix Hill Ltd,Left Hand Greenhouse Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020083,Unit 1,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,400","3,450","4,000","1,988.39",7.61,N,,,Y,N,0,N,0,N,N,N,Channel Partners Ltd,Unit 1,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020084,Unit 2,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH,OFFICES AND PREMISES,"2,200","3,150","3,700","1,815.48",30.82,N,,,Y,N,0,N,0,N,N,N,The Clavadel (Guildford) Co Ltd,Unit 2,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH
010020085,Unit 3,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,500","3,600","4,200","2,074.84",20.96,N,,,Y,N,0,N,0,N,N,N,Goldcrest Academy Ltd,Unit 3,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020086,Unit 4,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,125","3,050","3,550","1,757.86",13.59,N,,,Y,N,0,N,0,N,N,N,Prosper Capital LLP,Unit 4,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020087,Unit 1A The Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9DA,OFFICES AND PREMISES,"2,175","3,100","3,650","1,786.68",34.67,N,,,Y,N,0,N,0,N,N,N,Waymouth & Ward Homecare Ltd,Unit 1A The Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9DA
010020090,Gas Well at Soco UK Onshore Lt,Albury Park,Albury,Guildford,Surrey,GU5 9BH,GAS FIELD AND PREMISES,"1,000","2,500","34,000","1,793.29","15,172.71",N,,,N,N,0,N,0,N,N,N,Island Gas Ltd,Welton Gathering Centre,Barfield Lane,Sudbrooke,Lincoln,,LN2 2QU
010020092,"First Floor, The Squash Court Office",The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,750","4,100","4,850","2,363.02",57.13,N,,,Y,N,0,N,0,N,N,N,Onecall Solutions Ltd,First Floor The Squash Court Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020093,"Ground Floor Left, The Squash Court Office",The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,600","3,750","4,400","2,161.29",34.31,N,,,Y,N,0,N,0,N,N,N,Wastebuster CIC,Ground Floor Left The Squash Court Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020094,"Ground Floor Right, The Squash Court Office",The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA,OFFICES AND PREMISES,"2,800","4,050","4,700","2,334.20",11.10,N,,,Y,N,0,N,0,N,N,N,The Geoghegan Group (Surrey) Ltd,Ground Floor Right The Squash Court Office,The Bothy,Albury Park,Albury,Guildford Surrey,GU5 9DA
010020098,Unit 3,The Long Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH,OFFICES AND PREMISES,"3,700","5,500","6,500","3,169.90",73.60,N,,,Y,N,0,N,0,N,N,N,Pulse Mapping Ltd,Unit 3,The Long Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH
010020103,Unit 1,The Long Bothy,Albury Park,Albury,Guildford Surrey,GU5 9BH,OFFICES AND PREMISES,,"2,375","2,800","1,368.83",28.37,Y,31/08/2022,Under the rateable value threshold,N,N,0,N,0,N,N,N,Design Film Digital Solutions Ltd,Unit B The Long Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9DA
010020104,Unit 2 The Long Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9BH,OFFICES AND PREMISES,,"2,425","2,850","1,397.64",24.51,N,,,Y,N,0,N,0,N,N,N,Design Film Digital Solutions Ltd,Unit B The Long Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9DA
010020105,Unit 4 The Long Bothy,Albury Park,Albury,Guildford,Surrey,GU5 9BH,OFFICES AND PREMISES,,"3,050","3,600","1,757.86",38.54,N,,,Y,N,0,N,0,N,N,N,Dyslexia Go,5 Chinthurst Park,Shalford,Guildford,Surrey,,GU4 8JH
010140092,Unit 1 At Birmingham Farm,Blackheath Lane,Albury,Guildford,Surrey,GU5 9AT,WAREHOUSE AND PREMISES,"8,200","8,200","8,600","4,291.40",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010140093,Unit 2 At Birmingham Farm,Blackheath Lane,Albury,Guildford,Surrey,GU5 9AT,WAREHOUSE AND PREMISES,"1,600","1,600","1,675",835.83,0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010140094,Unit 3 At Birmingham Farm,Blackheath Lane,Albury,Guildford,Surrey,GU5 9AT,WAREHOUSE AND PREMISES,"1,650","1,650","1,725",860.78,0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010200011,Units A & B,Brook Huts,Brook Hill,Albury,Guildford Surrey,GU5 9DJ,WORKSHOP AND PREMISES,"1,575","1,850","2,750","1,066.24",306.01,Y,01/04/2015,Under the rateable value threshold,N,N,0,N,0,N,N,N,Albury Estate,Estate Office,Albury,Guildford,,,GU5  9AF
010200012,Unit C,Brook Huts,Brook Hill,Albury,Guildford Surrey,GU5 9DJ,WORKSHOP AND PREMISES,600,690,990,397.68,96.33,N,,,Y,N,0,N,0,N,N,N,Albury Produce Association,,,,,,
010200144,Overbrook Lodge,Brook Hill,Albury,Guildford,Surrey,GU5 9DN,SELF CATERING HOLIDAY UNIT AND PREMISES,"4,000","3,600","2,400","1,197.60",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010440260,Albury Bowling Club,Church Lane,Albury,Guildford,Surrey,GU5 9AH,BOWLS CLUB AND PREMISES,"2,900","2,900","2,800","1,397.20",0.00,N,,,Y,N,0,N,0,N,N,N,Albury Bowling Club,,,,,,
010500014,Edgeley Caravan Park,Edgeley Park Caravan Site,Brook Hill,Albury,Guildford Surrey,GU5 9DW,CARAVAN PARK AND PREMISES,"54,750","186,000","219,000","119,574.00",0.00,N,,,N,N,0,N,0,N,N,N,Haulfryn Limited,Clarion House,Norreys Drive,Maidenhead,Berkshire,,SL6 4SL
010620131,Riding Arena r/o Yew Tree Cottage,Farley Green,Albury,Guildford,Surrey,GU5 9EE,STABLES AND PREMISES,"1,800","4,400","4,400","2,195.60",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010680120,Caravan Site At,Farley Heath,Albury,Guildford,Surrey,GU5 9EP,CARAVAN PARK AND PREMISES,540,"1,700","1,925",960.58,0.00,N/A,,,N,N,0,N,0,N,N,N,,,,,,,
010740041,Mayor House Farm,Farley Heath Road,Albury,Guildford,Surrey,GU5 9EW,LIVERY STABLES,"4,250","7,200","5,900","2,944.10",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010740071,Office At Pentland,Farley Heath Road,Albury,Guildford,Surrey,GU5 9EW,OFFICES AND PREMISES,850,"1,950","2,250","1,122.75",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010800071,White Lane Farm,Guildford Lane,Albury,Guildford,Surrey,GU5 9BQ,RIDING STABLES AND PREMISES,"2,650","5,900","5,600","2,794.40",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
010860040,Carlo's Trattoria,Newlands Corner,Guildford,Surrey,,GU4 8SE,RESTAURANT AND PREMISES,"17,250","39,750","42,500","21,207.50",0.00,N,,,N,N,0,N,0,N,N,Y,Carlos Trattoria Ltd,Carlos Trattoria,Newlands Corner,Guildford,Surrey,,GU4 8SE
011160101,William IV,Little London,Albury,Guildford,Surrey,GU5 9DG,PUBLIC HOUSE AND PREMISES,"19,500","48,000","44,700","22,305.30",0.00,N,,,N,N,0,N,0,N,N,N,Lawbrook Taverns Ltd,William IV,Little London,Albury,Guildford,Surrey,GU5 9DG
011220042,Five Pines Cabin,Lockhurst Hatch Farm,Lockhurst Hatch Lane,Albury,Guildford Surrey,GU5 9JN,SELF CATERING HOLIDAY UNIT AND PREMISES,"4,000","12,000","8,100","4,041.90",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
011340107,Brook Farm Stud,New Road,Albury,Guildford,Surrey,GU5 9DJ,STUD FARM & PREMISES,"6,000","12,750","11,750","5,863.25",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
011340110,Albury Cricket Club,New Road,Albury,Guildford,Surrey,GU5 9DJ,CRICKET PAVILION AND PREMISES,"1,325","1,325","1,325",661.18,0.00,N,,,N,Y,80,N,0,N,N,N,Albury Sports Club Limited,,,,,,
011340252,Arqiva (Shared Tower) At Albury Park,New Road,Albury,Guildford,Surrey,GU5 9AF,COMMUNICATION STATION AND PREMISES,"17,000","18,000","19,000","9,481.00",0.00,N,,,N,N,0,N,0,N,N,N,Arqiva Services Ltd,Avison Young,PO Box 6079,Wolverhampton,,,WV1 9RA
011400101,The Manor House Hotel,Newlands Corner,Guildford,Surrey,,GU4 8SE,HOTEL AND PREMISES,"50,000","123,500","86,500","47,229.00",0.00,N,,,N,N,0,N,0,N,N,Y,Nahid Residential Ltd,,,,,,
011400130,Tillings Cornerhouse,Newlands Corner,Guildford,Surrey,,GU4 8SE,CAFE AND PREMISES,"17,000","18,250","20,250","10,104.75",0.00,N,,,N,N,0,N,0,N,N,Y,CCG & CPC Limited,The Dabbling Duck Tearoom,Middle Street,Shere,Guildford,Surrey,GU5 9HF
011400140,Newlands Corner Country Park Cafe,Newlands Corner,Guildford,Surrey,,GU4 8SE,CAFE AND PREMISES,"31,000","33,250","36,250","18,088.75",0.00,N,,,N,N,0,N,0,N,N,Y,The Newlands Catering Co Ltd,2 Larkfield Court,Smallfield,Surrey,,,RH6 9NT
011520050,Caravan Site at,Cherrymans Brook,Ponds Lane,Albury,Guildford,GU5 9JL,CARAVAN PARK AND PREMISES,"3,050","3,675","3,675","1,833.83",0.00,N/A,,,N,N,0,N,0,N,N,Y,,,,,,,
