
"UK Business Counts - local units by industry and employment size band"
"ONS Crown Copyright Reserved [from Nomis on 26 February 2026]"
"Analysis   :","standard"
"Area Type  :","countries"
"Area Name  :","United Kingdom"
"Employment Sizeband:","Total"
"Legal Status:","Total"

"Industry","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"

"01 : Crop and animal production, hunting and related service activities",132925,134960,134545,139375,140700,142020,142500,143810,144770,144970,144125,136045,137165,136030,135815,135305
"02 : Forestry and logging",3270,3350,3575,3720,3885,4130,4265,4280,4375,4410,4490,4660,4950,5000,5100,5220
"03 : Fishing and aquaculture",3940,3895,3950,3975,4015,4060,4100,4115,4255,4345,4310,4320,4305,4225,4145,4075
"05 : Mining of coal and lignite",60,50,55,60,30,30,30,35,30,30,20,20,15,15,10,10
"06 : Extraction of crude petroleum and natural gas",130,135,145,160,170,185,180,165,180,190,195,190,170,160,150,145
"07 : Mining of metal ores",5,0,5,5,5,0,5,5,5,5,5,5,5,5,10,5
"08 : Other mining and quarrying",1665,1625,1565,1545,1455,1455,1435,1430,1480,1495,1535,1465,1500,1530,1465,1425
"09 : Mining support service activities",405,375,395,520,430,430,430,400,420,440,450,435,430,400,410,400
"10 : Manufacture of food products",8325,8015,8045,8205,8420,8975,9260,9440,9600,9790,9975,10450,11120,11195,10940,11020
"11 : Manufacture of beverages",1155,1205,1295,1420,1625,1800,2045,2265,2520,2725,2850,3115,3105,3110,3055,2960
"12 : Manufacture of tobacco products",15,15,15,10,10,15,15,10,5,5,10,5,5,5,5,5
"13 : Manufacture of textiles",4335,4150,4085,4025,4085,4280,4440,4460,4490,4535,4480,4545,4685,4705,4600,4525
"14 : Manufacture of wearing apparel",3740,3570,3655,3550,3595,3960,4005,3985,3995,4085,4120,4355,4370,4090,3825,3605
"15 : Manufacture of leather and related products",610,570,595,600,585,625,650,720,745,735,720,735,735,750,705,650
"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials",8370,7840,7785,7600,7895,8665,9120,9410,9645,9810,9965,10295,10960,11160,10905,10740
"17 : Manufacture of paper and paper products",2035,1880,1825,1745,1700,1725,1705,1655,1620,1605,1605,1655,1645,1655,1620,1565
"18 : Printing and reproduction of recorded media",15760,14860,14370,13680,13380,13165,12805,12510,12230,11900,11520,11405,11115,10550,10235,9925
"19 : Manufacture of coke and refined petroleum products",215,185,180,165,155,145,140,130,115,110,110,115,120,110,115,110
"20 : Manufacture of chemicals and chemical products",3105,2940,2915,2925,3015,3090,3225,3270,3365,3430,3490,3705,3970,3940,3745,3725
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations",605,595,650,575,595,645,665,680,700,720,750,780,770,725,735,710
"22 : Manufacture of rubber and plastic products",6790,6490,6370,6275,6320,6365,6455,6425,6495,6415,6295,6290,6235,6100,5940,5830
"23 : Manufacture of other non-metallic mineral products",5640,5355,5190,5050,5000,5050,5060,5005,5005,4975,4955,5040,5230,5385,5180,5235
"24 : Manufacture of basic metals",1650,1590,1575,1595,1665,1770,2030,2150,1975,1985,2020,2010,2030,2055,2040,2005
