year,size,sector,site_count
2010,Large (250+),Agriculture,25
2010,Large (250+),Business Support Services,1185
2010,Large (250+),Construction,310
2010,Large (250+),Hospitality,185
2010,Large (250+),IT & Computer Services,200
2010,Large (250+),Manufacturing,1425
2010,Large (250+),Other Information Services,310
2010,Large (250+),Other Primary Industries,30
2010,Large (250+),Other Services,295
2010,Large (250+),Professional Services,735
2010,Large (250+),Retail Trade,1580
2010,Large (250+),Social care,255
2010,Large (250+),Transport & Logistics,720
2010,Large (250+),Utilities,165
2010,Large (250+),Wholesale Trade,340
2010,Medium-sized (50 to 249),Agriculture,260
2010,Medium-sized (50 to 249),Business Support Services,6370
2010,Medium-sized (50 to 249),Construction,3365
2010,Medium-sized (50 to 249),Hospitality,4145
2010,Medium-sized (50 to 249),IT & Computer Services,1225
2010,Medium-sized (50 to 249),Manufacturing,7835
2010,Medium-sized (50 to 249),Other Information Services,1130
2010,Medium-sized (50 to 249),Other Primary Industries,185
2010,Medium-sized (50 to 249),Other Services,3130
2010,Medium-sized (50 to 249),Professional Services,4305
2010,Medium-sized (50 to 249),Retail Trade,5845
2010,Medium-sized (50 to 249),Social care,6025
2010,Medium-sized (50 to 249),Transport & Logistics,3975
2010,Medium-sized (50 to 249),Utilities,875
2010,Medium-sized (50 to 249),Wholesale Trade,4435
2010,Micro (0 to 9),Agriculture,128740
2010,Micro (0 to 9),Business Support Services,157150
2010,Micro (0 to 9),Construction,259440
2010,Micro (0 to 9),Hospitality,125675
2010,Micro (0 to 9),IT & Computer Services,106705
2010,Micro (0 to 9),Manufacturing,103155
2010,Micro (0 to 9),Other Information Services,34480
2010,Micro (0 to 9),Other Primary Industries,8425
2010,Micro (0 to 9),Other Services,161345
2010,Micro (0 to 9),Professional Services,312405
2010,Micro (0 to 9),Retail Trade,233760
2010,Micro (0 to 9),Social care,48395
2010,Micro (0 to 9),Transport & Logistics,66995
2010,Micro (0 to 9),Utilities,7425
2010,Micro (0 to 9),Wholesale Trade,166620
2010,Small (10 to 49),Agriculture,3900
2010,Small (10 to 49),Business Support Services,19655
2010,Small (10 to 49),Construction,20455
2010,Small (10 to 49),Hospitality,40790
2010,Small (10 to 49),IT & Computer Services,5750
2010,Small (10 to 49),Manufacturing,27210
2010,Small (10 to 49),Other Information Services,3900
2010,Small (10 to 49),Other Primary Industries,830
2010,Small (10 to 49),Other Services,19670
2010,Small (10 to 49),Professional Services,25505
2010,Small (10 to 49),Retail Trade,45495
2010,Small (10 to 49),Social care,31255
2010,Small (10 to 49),Transport & Logistics,12145
2010,Small (10 to 49),Utilities,2560
2010,Small (10 to 49),Wholesale Trade,30315
2010,Total,Agriculture,132925
2010,Total,Business Support Services,184355
2010,Total,Construction,283575
2010,Total,Hospitality,170800
2010,Total,IT & Computer Services,113885
2010,Total,Manufacturing,139630
2010,Total,Other Information Services,39820
2010,Total,Other Primary Industries,9475
2010,Total,Other Services,184450
2010,Total,Professional Services,342950
2010,Total,Retail Trade,286680
2010,Total,Social care,85935
2010,Total,Transport & Logistics,83830
2010,Total,Utilities,11030
2010,Total,Wholesale Trade,201710
2011,Large (250+),Agriculture,30
2011,Large (250+),Business Support Services,1200
2011,Large (250+),Construction,280
2011,Large (250+),Hospitality,215
2011,Large (250+),IT & Computer Services,190
2011,Large (250+),Manufacturing,1380
2011,Large (250+),Other Information Services,300
2011,Large (250+),Other Primary Industries,40
2011,Large (250+),Other Services,285
2011,Large (250+),Professional Services,715
2011,Large (250+),Retail Trade,1520
2011,Large (250+),Social care,275
2011,Large (250+),Transport & Logistics,695
2011,Large (250+),Utilities,170
2011,Large (250+),Wholesale Trade,345
2011,Medium-sized (50 to 249),Agriculture,265
2011,Medium-sized (50 to 249),Business Support Services,6050
2011,Medium-sized (50 to 249),Construction,3145
2011,Medium-sized (50 to 249),Hospitality,4420
2011,Medium-sized (50 to 249),IT & Computer Services,1220
2011,Medium-sized (50 to 249),Manufacturing,7515
2011,Medium-sized (50 to 249),Other Information Services,1095
2011,Medium-sized (50 to 249),Other Primary Industries,180
2011,Medium-sized (50 to 249),Other Services,3255
2011,Medium-sized (50 to 249),Professional Services,4320
2011,Medium-sized (50 to 249),Retail Trade,5945
2011,Medium-sized (50 to 249),Social care,6420
2011,Medium-sized (50 to 249),Transport & Logistics,3960
2011,Medium-sized (50 to 249),Utilities,910
2011,Medium-sized (50 to 249),Wholesale Trade,4315
2011,Micro (0 to 9),Agriculture,130960
2011,Micro (0 to 9),Business Support Services,150670
2011,Micro (0 to 9),Construction,250215
2011,Micro (0 to 9),Hospitality,118450
2011,Micro (0 to 9),IT & Computer Services,108965
2011,Micro (0 to 9),Manufacturing,99425
2011,Micro (0 to 9),Other Information Services,34940
2011,Micro (0 to 9),Other Primary Industries,8440
2011,Micro (0 to 9),Other Services,156965
2011,Micro (0 to 9),Professional Services,319030
2011,Micro (0 to 9),Retail Trade,230685
2011,Micro (0 to 9),Social care,49740
2011,Micro (0 to 9),Transport & Logistics,65785
2011,Micro (0 to 9),Utilities,7970
2011,Micro (0 to 9),Wholesale Trade,165955
2011,Small (10 to 49),Agriculture,3705
2011,Small (10 to 49),Business Support Services,19165
2011,Small (10 to 49),Construction,18335
2011,Small (10 to 49),Hospitality,39980
2011,Small (10 to 49),IT & Computer Services,5605
2011,Small (10 to 49),Manufacturing,25660
2011,Small (10 to 49),Other Information Services,3700
2011,Small (10 to 49),Other Primary Industries,780
2011,Small (10 to 49),Other Services,19480
2011,Small (10 to 49),Professional Services,24890
2011,Small (10 to 49),Retail Trade,46340
2011,Small (10 to 49),Social care,31810
2011,Small (10 to 49),Transport & Logistics,11820
2011,Small (10 to 49),Utilities,2675
2011,Small (10 to 49),Wholesale Trade,29775
2011,Total,Agriculture,134960
2011,Total,Business Support Services,177075
2011,Total,Construction,271985
2011,Total,Hospitality,163060
2011,Total,IT & Computer Services,115985
2011,Total,Manufacturing,133965
2011,Total,Other Information Services,40035
2011,Total,Other Primary Industries,9430
2011,Total,Other Services,180005
2011,Total,Professional Services,348950
2011,Total,Retail Trade,284490
2011,Total,Social care,88245
2011,Total,Transport & Logistics,82275
2011,Total,Utilities,11725
2011,Total,Wholesale Trade,200395
2012,Large (250+),Agriculture,35
2012,Large (250+),Business Support Services,1255
2012,Large (250+),Construction,290
2012,Large (250+),Hospitality,215
2012,Large (250+),IT & Computer Services,210
2012,Large (250+),Manufacturing,1370
2012,Large (250+),Other Information Services,300
2012,Large (250+),Other Primary Industries,35
2012,Large (250+),Other Services,280
2012,Large (250+),Professional Services,745
2012,Large (250+),Retail Trade,1490
2012,Large (250+),Social care,255
2012,Large (250+),Transport & Logistics,715
2012,Large (250+),Utilities,165
2012,Large (250+),Wholesale Trade,350
2012,Medium-sized (50 to 249),Agriculture,325
2012,Medium-sized (50 to 249),Business Support Services,6210
2012,Medium-sized (50 to 249),Construction,2985
2012,Medium-sized (50 to 249),Hospitality,4475
2012,Medium-sized (50 to 249),IT & Computer Services,1260
2012,Medium-sized (50 to 249),Manufacturing,7455
2012,Medium-sized (50 to 249),Other Information Services,1105
2012,Medium-sized (50 to 249),Other Primary Industries,175
2012,Medium-sized (50 to 249),Other Services,3265
2012,Medium-sized (50 to 249),Professional Services,4295
2012,Medium-sized (50 to 249),Retail Trade,5965
2012,Medium-sized (50 to 249),Social care,6865
2012,Medium-sized (50 to 249),Transport & Logistics,3885
2012,Medium-sized (50 to 249),Utilities,900
2012,Medium-sized (50 to 249),Wholesale Trade,4315
2012,Micro (0 to 9),Agriculture,130265
2012,Micro (0 to 9),Business Support Services,151975
2012,Micro (0 to 9),Construction,252375
2012,Micro (0 to 9),Hospitality,120805
2012,Micro (0 to 9),IT & Computer Services,117360
2012,Micro (0 to 9),Manufacturing,100795
2012,Micro (0 to 9),Other Information Services,36850
2012,Micro (0 to 9),Other Primary Industries,8665
2012,Micro (0 to 9),Other Services,160650
2012,Micro (0 to 9),Professional Services,340595
2012,Micro (0 to 9),Retail Trade,231960
2012,Micro (0 to 9),Social care,50015
2012,Micro (0 to 9),Transport & Logistics,66450
2012,Micro (0 to 9),Utilities,8825
2012,Micro (0 to 9),Wholesale Trade,167025
2012,Small (10 to 49),Agriculture,3920
2012,Small (10 to 49),Business Support Services,20420
2012,Small (10 to 49),Construction,17955
2012,Small (10 to 49),Hospitality,42380
2012,Small (10 to 49),IT & Computer Services,6110
2012,Small (10 to 49),Manufacturing,25860
2012,Small (10 to 49),Other Information Services,4050
2012,Small (10 to 49),Other Primary Industries,815
2012,Small (10 to 49),Other Services,19865
2012,Small (10 to 49),Professional Services,25650
2012,Small (10 to 49),Retail Trade,47685
2012,Small (10 to 49),Social care,32675
2012,Small (10 to 49),Transport & Logistics,12000
2012,Small (10 to 49),Utilities,2815
2012,Small (10 to 49),Wholesale Trade,30655
2012,Total,Agriculture,134545
2012,Total,Business Support Services,179860
2012,Total,Construction,273600
2012,Total,Hospitality,167880
2012,Total,IT & Computer Services,124935
2012,Total,Manufacturing,135475
2012,Total,Other Information Services,42310
2012,Total,Other Primary Industries,9690
2012,Total,Other Services,184065
2012,Total,Professional Services,371275
2012,Total,Retail Trade,287100
2012,Total,Social care,89810
2012,Total,Transport & Logistics,83065
2012,Total,Utilities,12710
2012,Total,Wholesale Trade,202340
2013,Large (250+),Agriculture,50
2013,Large (250+),Business Support Services,1305
2013,Large (250+),Construction,265
2013,Large (250+),Hospitality,230
2013,Large (250+),IT & Computer Services,220
2013,Large (250+),Manufacturing,1350
2013,Large (250+),Other Information Services,285
2013,Large (250+),Other Primary Industries,40
2013,Large (250+),Other Services,285
2013,Large (250+),Professional Services,800
2013,Large (250+),Retail Trade,1480
2013,Large (250+),Social care,280
2013,Large (250+),Transport & Logistics,735
2013,Large (250+),Utilities,170
2013,Large (250+),Wholesale Trade,355
2013,Medium-sized (50 to 249),Agriculture,340
2013,Medium-sized (50 to 249),Business Support Services,6180
2013,Medium-sized (50 to 249),Construction,2895
2013,Medium-sized (50 to 249),Hospitality,4610
2013,Medium-sized (50 to 249),IT & Computer Services,1280
2013,Medium-sized (50 to 249),Manufacturing,7500
2013,Medium-sized (50 to 249),Other Information Services,1135
2013,Medium-sized (50 to 249),Other Primary Industries,160
2013,Medium-sized (50 to 249),Other Services,3235
2013,Medium-sized (50 to 249),Professional Services,4370
2013,Medium-sized (50 to 249),Retail Trade,6040
2013,Medium-sized (50 to 249),Social care,7130
2013,Medium-sized (50 to 249),Transport & Logistics,4065
2013,Medium-sized (50 to 249),Utilities,935
2013,Medium-sized (50 to 249),Wholesale Trade,4320
2013,Micro (0 to 9),Agriculture,134995
2013,Micro (0 to 9),Business Support Services,150025
2013,Micro (0 to 9),Construction,245330
2013,Micro (0 to 9),Hospitality,117135
2013,Micro (0 to 9),IT & Computer Services,121905
2013,Micro (0 to 9),Manufacturing,102030
2013,Micro (0 to 9),Other Information Services,38235
2013,Micro (0 to 9),Other Primary Industries,8930
2013,Micro (0 to 9),Other Services,154585
