STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION,Version,TIME_PERIOD,Time period,OBS_VALUE,Observation value,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUS,Australia,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,1.166666627,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUT,Austria,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,2.666666746,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,BEL,Belgium,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,1.638888955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CAN,Canada,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,0.587301612,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,1.515873075,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FIN,Finland,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,2.702380896,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,2.515872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,2.5,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,GRC,Greece,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,3.134920597,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,HUN,Hungary,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1990,,2.003968239,,F,Free (free for publication),2,Two,A,Normal value,0,Units
