Entry cohort,Age 1,Age 3,Age 5,Age 10
1998,67.0,48.0,36.0,21.0
1999,64.0,42.0,30.0,17.0
2000,64.0,42.0,31.0,17.0
2001,64.0,43.0,32.0,17.0
2002,65.0,43.0,32.0,17.0
2003,64.0,46.0,33.0,18.0
2004,66.0,44.0,30.0,17.0
2005,66.0,42.0,30.0,17.0
2006,62.0,39.0,29.0,17.0
2007,57.0,38.0,28.0,17.0
2008,60.0,41.0,31.0,18.0
2009,62.0,43.0,33.0,20.0
2010,64.0,44.0,34.0,20.0
2011,66.0,47.0,37.0,22.0
2012,64.0,46.0,35.0,20.0
2013,62.0,45.0,34.0,
2014,63.0,45.0,34.0,
2015,66.0,46.0,35.0,
2016,62.0,44.0,32.0,
2017,57.0,39.0,29.0,
2018,59.0,42.0,,
2019,61.0,41.0,,
2020,58.0,,,
2021,54.0,,,
