DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,INDUSTRY,INDUSTRY_NAME,INDUSTRY_CODE,INDUSTRY_TYPE,INDUSTRY_TYPECODE,INDUSTRY_SORTORDER,EMPLOYMENT_STATUS,EMPLOYMENT_STATUS_NAME,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS_TYPE,EMPLOYMENT_STATUS_TYPECODE,EMPLOYMENT_STATUS_SORTORDER,MEASURE,MEASURE_NAME,MEASURE_CODE,MEASURE_TYPE,MEASURE_TYPECODE,MEASURE_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2024,2024,2024,date,0,0,1778384897,Hartlepool,E06000001,local authorities: district / unitary (as of April 2023),424,0,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,31000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384897d37748736d0d4d1d3d20100,0,350
2024,2024,2024,date,0,0,1778384898,Middlesbrough,E06000002,local authorities: district / unitary (as of April 2023),424,1,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,65000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384898d37748736d0d4d1d3d20100,1,350
2024,2024,2024,date,0,0,1778384899,Redcar and Cleveland,E06000003,local authorities: district / unitary (as of April 2023),424,2,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,41000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384899d37748736d0d4d1d3d20100,2,350
2024,2024,2024,date,0,0,1778384900,Stockton-on-Tees,E06000004,local authorities: district / unitary (as of April 2023),424,3,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,85000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384900d37748736d0d4d1d3d20100,3,350
2024,2024,2024,date,0,0,1778384901,Darlington,E06000005,local authorities: district / unitary (as of April 2023),424,4,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,56000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384901d37748736d0d4d1d3d20100,4,350
2024,2024,2024,date,0,0,1778384941,County Durham,E06000047,local authorities: district / unitary (as of April 2023),424,5,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,195000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384941d37748736d0d4d1d3d20100,5,350
2024,2024,2024,date,0,0,1778384950,Northumberland,E06000057,local authorities: district / unitary (as of April 2023),424,6,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,118000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778384950d37748736d0d4d1d3d20100,6,350
2024,2024,2024,date,0,0,1778385143,Newcastle upon Tyne,E08000021,local authorities: district / unitary (as of April 2023),424,7,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,202000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778385143d37748736d0d4d1d3d20100,7,350
2024,2024,2024,date,0,0,1778385144,North Tyneside,E08000022,local authorities: district / unitary (as of April 2023),424,8,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,89000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778385144d37748736d0d4d1d3d20100,8,350
2024,2024,2024,date,0,0,1778385145,South Tyneside,E08000023,local authorities: district / unitary (as of April 2023),424,9,37748736,Total,37748736,industry,9,0,4,Employment,4,Employment,1000,0,1,Count,1,percent,1000,0,20100,Value,41000,A,Normal Value,F,Free (free for publication),Nm-188d1d32384e0d1778385145d37748736d0d4d1d3d20100,9,350
