DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,SEX,SEX_NAME,SEX_CODE,SEX_TYPE,SEX_TYPECODE,SEX_SORTORDER,AGE,AGE_NAME,AGE_CODE,AGE_TYPE,AGE_TYPECODE,AGE_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2024,2024,2024,date,0,0,1778384897,Hartlepool,E06000001,local authorities: district / unitary (as of April 2023),424,0,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,59988,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384897d7d22d20100,0,361
2024,2024,2024,date,0,0,1778384898,Middlesbrough,E06000002,local authorities: district / unitary (as of April 2023),424,1,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,98418,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384898d7d22d20100,1,361
2024,2024,2024,date,0,0,1778384899,Redcar and Cleveland,E06000003,local authorities: district / unitary (as of April 2023),424,2,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,81553,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384899d7d22d20100,2,361
2024,2024,2024,date,0,0,1778384900,Stockton-on-Tees,E06000004,local authorities: district / unitary (as of April 2023),424,3,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,126844,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384900d7d22d20100,3,361
2024,2024,2024,date,0,0,1778384901,Darlington,E06000005,local authorities: district / unitary (as of April 2023),424,4,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,68652,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384901d7d22d20100,4,361
2024,2024,2024,date,0,0,1778384941,County Durham,E06000047,local authorities: district / unitary (as of April 2023),424,5,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,332052,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384941d7d22d20100,5,361
2024,2024,2024,date,0,0,1778384950,Northumberland,E06000057,local authorities: district / unitary (as of April 2023),424,6,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,191328,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384950d7d22d20100,6,361
2024,2024,2024,date,0,0,1778385143,Newcastle upon Tyne,E08000021,local authorities: district / unitary (as of April 2023),424,7,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,218598,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385143d7d22d20100,7,361
2024,2024,2024,date,0,0,1778385144,North Tyneside,E08000022,local authorities: district / unitary (as of April 2023),424,8,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,132171,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385144d7d22d20100,8,361
2024,2024,2024,date,0,0,1778385145,South Tyneside,E08000023,local authorities: district / unitary (as of April 2023),424,9,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,91863,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385145d7d22d20100,9,361
2024,2024,2024,date,0,0,1778385146,Sunderland,E08000024,local authorities: district / unitary (as of April 2023),424,10,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,178855,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385146d7d22d20100,10,361
2024,2024,2024,date,0,0,1778385159,Gateshead,E08000037,local authorities: district / unitary (as of April 2023),424,11,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,125847,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385159d7d22d20100,11,361
2024,2024,2024,date,0,0,1778384902,Halton,E06000006,local authorities: district / unitary (as of April 2023),424,12,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,81811,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384902d7d22d20100,12,361
2024,2024,2024,date,0,0,1778384903,Warrington,E06000007,local authorities: district / unitary (as of April 2023),424,13,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,133233,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384903d7d22d20100,13,361
2024,2024,2024,date,0,0,1778384904,Blackburn with Darwen,E06000008,local authorities: district / unitary (as of April 2023),424,14,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,102473,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384904d7d22d20100,14,361
2024,2024,2024,date,0,0,1778384905,Blackpool,E06000009,local authorities: district / unitary (as of April 2023),424,15,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,88588,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384905d7d22d20100,15,361
2024,2024,2024,date,0,0,1778384942,Cheshire East,E06000049,local authorities: district / unitary (as of April 2023),424,16,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,252888,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384942d7d22d20100,16,361
2024,2024,2024,date,0,0,1778384943,Cheshire West and Chester,E06000050,local authorities: district / unitary (as of April 2023),424,17,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,228247,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384943d7d22d20100,17,361
2024,2024,2024,date,0,0,1778384956,Cumberland,E06000063,local authorities: district / unitary (as of April 2023),424,18,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,166852,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384956d7d22d20100,18,361
2024,2024,2024,date,0,0,1778384957,Westmorland and Furness,E06000064,local authorities: district / unitary (as of April 2023),424,19,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,134967,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778384957d7d22d20100,19,361
2024,2024,2024,date,0,0,1778385033,Burnley,E07000117,local authorities: district / unitary (as of April 2023),424,20,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,61010,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385033d7d22d20100,20,361
2024,2024,2024,date,0,0,1778385034,Chorley,E07000118,local authorities: district / unitary (as of April 2023),424,21,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,74304,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385034d7d22d20100,21,361
2024,2024,2024,date,0,0,1778385035,Fylde,E07000119,local authorities: district / unitary (as of April 2023),424,22,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,48188,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385035d7d22d20100,22,361
2024,2024,2024,date,0,0,1778385036,Hyndburn,E07000120,local authorities: district / unitary (as of April 2023),424,23,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,53313,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385036d7d22d20100,23,361
2024,2024,2024,date,0,0,1778385037,Lancaster,E07000121,local authorities: district / unitary (as of April 2023),424,24,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,91128,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385037d7d22d20100,24,361
2024,2024,2024,date,0,0,1778385038,Pendle,E07000122,local authorities: district / unitary (as of April 2023),424,25,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,60254,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385038d7d22d20100,25,361
2024,2024,2024,date,0,0,1778385039,Preston,E07000123,local authorities: district / unitary (as of April 2023),424,26,7,Total,7,sex,0,0,22,Aged 16 - 64,22,age,0,0,20100,Value,107301,A,Normal Value,F,Free (free for publication),Nm-31d1d32384e0d1778385039d7d22d20100,26,361
