9.10: Individual Savings Accounts (ISAs),,,,,,,,,,
"This table includes information on the number of individuals holding ISAs by income and market value, as at end of tax year 2022 to 2023.",,,,,,,,,,
The 2022 to 2023 tax year relates to dates of 6 April 2022 to 5 April 2023.,,,,,,,,,,
The total number of ISA holders is not reported by ISA managers. Estimates of the total numbers of ISA holders are based on average market values of ISAs for a sample of individuals combined with reported aggregate ISA market values (from Table 9.6).,,,,,,,,,,
Range of Income of All ISA Holders,"£1-£2,499
(thousands)","£2,500-£4,999
(thousands)","£5,000-£9,999
(thousands)","£10,000-£14,999
(thousands)","£15,000-£19,999
(thousands)","£20,000-£24,999
(thousands)","£25,000-£49,999
(thousands)","£50,000 or more
(thousands)","Total
(thousands)",Average ISA Market Value (£)
"£0-£4,999",668,89,120,69,44,55,92,123,"1,259","18,059"
"£5,000-£9,999",754,116,154,101,69,91,164,234,"1,683","24,285"
"£10,000-£19,999","1,976",323,500,346,267,342,670,"1,023","5,447","31,563"
"£20,000-£29,999","1,820",276,416,273,204,257,458,814,"4,519","31,536"
"£30,000-£49,999","1,947",287,427,297,223,275,469,868,"4,793","34,103"
"£50,000-£99,999",920,156,229,164,138,193,323,589,"2,711","42,747"
"£100,000-£149,999",116,20,32,25,26,36,69,147,472,"60,160"
"£150,000 or more",64,10,17,15,18,30,60,200,414,"94,894"
All ranges,"8,265","1,278","1,893","1,290",989,"1,281","2,305","3,999","21,299","34,044"
Range of Income of Cash ISA Holders Only,"£1-£2,499
(thousands)","£2,500-£4,999
(thousands)","£5,000-£9,999
(thousands)","£10,000-£14,999
(thousands)","£15,000-£19,999
(thousands)","£20,000-£24,999
(thousands)","£25,000-£49,999
(thousands)","£50,000 or more
(thousands)","Total
(thousands)",Average ISA Market Value (£)
"£0-£4,999",553,60,78,41,21,34,39,30,857,"7,548"
"£5,000-£9,999",643,88,114,70,41,65,87,72,"1,180","11,675"
"£10,000-£19,999","1,701",244,372,249,171,254,383,366,"3,741","16,667"
"£20,000-£29,999","1,526",198,302,183,129,181,249,267,"3,035","15,348"
"£30,000-£49,999","1,556",183,278,180,114,181,215,232,"2,940","14,293"
"£50,000-£99,999",664,78,115,79,58,114,115,120,"1,343","16,292"
"£100,000-£149,999",75,8,12,10,7,18,17,22,169,"21,930"
"£150,000 or more",40,3,5,5,4,14,11,18,100,"29,938"
All ranges,"6,757",863,"1,276",817,546,862,"1,117","1,127","13,365","14,948"
Range of Income of Stocks & Shares ISA Holders Only,"£1-£2,499
(thousands)","£2,500-£4,999
(thousands)","£5,000-£9,999
(thousands)","£10,000-£14,999
(thousands)","£15,000-£19,999
(thousands)","£20,000-£24,999
(thousands)","£25,000-£49,999
(thousands)","£50,000 or more
(thousands)","Total
(thousands)",Average ISA Market Value (£)
"£0-£4,999",90,21,29,18,14,13,31,52,267,"35,341"
"£5,000-£9,999",87,18,24,19,17,14,35,76,289,"45,273"
"£10,000-£19,999",205,54,81,56,54,47,127,277,900,"55,175"
"£20,000-£29,999",210,50,69,48,39,38,91,216,762,"53,679"
"£30,000-£49,999",274,65,83,64,60,44,116,271,979,"57,442"
"£50,000-£99,999",181,50,70,49,48,43,105,230,776,"64,181"
"£100,000-£149,999",30,9,13,9,12,10,28,68,179,"82,007"
"£150,000 or more",19,5,7,7,10,10,30,116,204,"122,211"
All ranges,"1,097",272,377,269,254,220,563,"1,305","4,357","59,391"
Range of Income of Cash and Stocks & Shares ISA Holders,"£1-£2,499
(thousands)","£2,500-£4,999
(thousands)","£5,000-£9,999
(thousands)","£10,000-£14,999
(thousands)","£15,000-£19,999
(thousands)","£20,000-£24,999
(thousands)","£25,000-£49,999
(thousands)","£50,000 or more
(thousands)","Total
(thousands)",Average ISA Market Value (£)
"£0-£4,999",25,8,13,10,9,8,22,41,135,"50,453"
"£5,000-£9,999",24,10,15,13,11,12,42,85,213,"65,595"
"£10,000-£19,999",69,24,47,41,42,41,160,381,806,"74,342"
"£20,000-£29,999",84,28,45,42,36,37,118,332,723,"76,161"
"£30,000-£49,999",117,39,65,52,48,50,138,365,874,"74,617"
"£50,000-£99,999",75,28,44,37,32,35,103,239,592,"74,668"
"£100,000-£149,999",10,4,7,6,7,8,24,57,123,"80,827"
"£150,000 or more",5,2,4,4,4,6,19,67,111,"103,342"
All ranges,411,143,241,205,189,199,624,"1,567","3,577","74,526"
End of worksheet,,,,,,,,,,
