year_month,Real AWE (Index numbers 2015=100),2019 annual average,Real AWE (Index numbers 2019=100),
Jan 00,87.0,103.5,84.10,
Feb 00,85.2,103.5,82.33,
Mar 00,88.0,103.5,85.10,
Apr 00,87.5,103.5,84.55,
May 00,88.2,103.5,85.25,
Jun 00,87.9,103.5,84.99,
Jul 00,88.5,103.5,85.50,
Aug 00,89.0,103.5,86.02,
Sep 00,89.3,103.5,86.28,
Oct 00,89.3,103.5,86.28,
Nov 00,89.6,103.5,86.64,
Dec 00,90.7,103.5,87.63,
Jan 01,90.6,103.5,87.60,
Feb 01,91.2,103.5,88.16,
Mar 01,91.0,103.5,87.97,
Apr 01,91.2,103.5,88.16,
May 01,90.9,103.5,87.85,
Jun 01,91.2,103.5,88.11,
Jul 01,91.3,103.5,88.21,
Aug 01,91.6,103.5,88.57,
Sep 01,91.7,103.5,88.67,
Oct 01,92.2,103.5,89.09,
Nov 01,92.4,103.5,89.28,
Dec 01,92.5,103.5,89.37,
Jan 02,92.1,103.5,89.01,
Feb 02,92.3,103.5,89.23,
Mar 02,91.8,103.5,88.69,
Apr 02,93.0,103.5,89.87,
May 02,93.0,103.5,89.92,
Jun 02,93.5,103.5,90.32,
Jul 02,93.6,103.5,90.45,
Aug 02,93.3,103.5,90.18,
Sep 02,93.4,103.5,90.26,
Oct 02,93.3,103.5,90.21,
Nov 02,93.5,103.5,90.42,
Dec 02,93.3,103.5,90.19,
Jan-03,92.6,103.5,89.46,
Feb-03,92.9,103.5,89.83,
Mar-03,94.3,103.5,91.12,
Apr-03,94.0,103.5,90.85,
May-03,94.4,103.5,91.25,
Jun-03,94.7,103.5,91.52,
Jul-03,95.0,103.5,91.83,
Aug-03,95.2,103.5,91.97,
Sep-03,95.6,103.5,92.39,
Oct-03,95.9,103.5,92.70,
Nov-03,96.0,103.5,92.74,
Dec-03,96.0,103.5,92.76,
Jan-04,98.0,103.5,94.70,
Feb-04,94.7,103.5,91.50,
Mar-04,96.7,103.5,93.43,
Apr-04,96.9,103.5,93.66,
May-04,97.0,103.5,93.74,
Jun-04,97.1,103.5,93.82,
Jul-04,97.3,103.5,94.05,
Aug-04,97.8,103.5,94.57,
Sep-04,98.3,103.5,95.02,
Oct-04,98.7,103.5,95.38,
Nov-04,98.5,103.5,95.20,
Dec-04,98.6,103.5,95.27,
Jan-05,100.1,103.5,96.79,
Feb-05,98.1,103.5,94.85,
Mar-05,98.7,103.5,95.36,
Apr-05,99.3,103.5,95.95,
May-05,99.5,103.5,96.15,
Jun-05,99.4,103.5,96.09,
Jul-05,99.8,103.5,96.46,
Aug-05,100.6,103.5,97.18,
Sep-05,100.5,103.5,97.18,
Oct-05,100.6,103.5,97.23,
Nov-05,101.0,103.5,97.66,
Dec-05,100.9,103.5,97.52,
Jan-06,101.1,103.5,97.67,
Feb-06,101.4,103.5,98.00,
Mar-06,102.4,103.5,99.00,
Apr-06,101.3,103.5,97.93,
May-06,101.6,103.5,98.24,
Jun-06,102.3,103.5,98.88,
Jul-06,102.0,103.5,98.56,
Aug-06,101.7,103.5,98.33,
Sep-06,101.9,103.5,98.45,
Oct-06,102.5,103.5,99.08,
Nov-06,102.7,103.5,99.26,
Dec-06,103.7,103.5,100.19,
Jan-07,104.4,103.5,100.86,
Feb-07,105.3,103.5,101.78,
Mar-07,104.1,103.5,100.65,
Apr-07,102.9,103.5,99.46,
May-07,103.9,103.5,100.40,
Jun-07,104.2,103.5,100.73,
Jul-07,104.8,103.5,101.32,
Aug-07,105.0,103.5,101.49,
Sep-07,105.4,103.5,101.88,
Oct-07,104.7,103.5,101.15,
Nov-07,105.1,103.5,101.57,
Dec-07,104.5,103.5,100.96,
Jan-08,105.6,103.5,102.09,
Feb-08,106.5,103.5,102.97,
Mar-08,106.7,103.5,103.09,
Apr-08,104.7,103.5,101.23,
May-08,104.8,103.5,101.26,
Jun-08,103.9,103.5,100.45,
Jul-08,104.0,103.5,100.48,
Aug-08,103.7,103.5,100.20,
Sep-08,103.2,103.5,99.77,
Oct-08,103.8,103.5,100.33,
Nov-08,103.5,103.5,100.02,
Dec-08,103.9,103.5,100.40,
Jan-09,101.1,103.5,97.71,
Feb-09,97.3,103.5,94.05,
Mar-09,102.9,103.5,99.43,
Apr-09,104.0,103.5,100.48,
May-09,103.4,103.5,99.94,
Jun-09,103.3,103.5,99.81,
Jul-09,102.7,103.5,99.28,
Aug-09,102.8,103.5,99.35,
Sep-09,103.1,103.5,99.68,
Oct-09,102.9,103.5,99.47,
Nov-09,102.9,103.5,99.42,
Dec-09,102.8,103.5,99.37,
Jan-10,101.3,103.5,97.90,
Feb-10,103.7,103.5,100.25,
Mar-10,102.6,103.5,99.19,
Apr-10,102.3,103.5,98.86,
May-10,102.4,103.5,98.98,
Jun-10,102.0,103.5,98.58,
Jul-10,102.1,103.5,98.64,
Aug-10,102.3,103.5,98.84,
Sep-10,102.4,103.5,99.00,
Oct-10,102.2,103.5,98.74,
Nov-10,102.1,103.5,98.66,
Dec-10,101.6,103.5,98.20,
Jan-11,102.4,103.5,98.97,
Feb-11,101.7,103.5,98.34,
Mar-11,101.7,103.5,98.26,
Apr-11,100.7,103.5,97.33,
May-11,100.8,103.5,97.44,
Jun-11,101.2,103.5,97.83,
Jul-11,100.9,103.5,97.56,
Aug-11,100.2,103.5,96.85,
Sep-11,99.8,103.5,96.48,
Oct-11,100.0,103.5,96.68,
Nov-11,99.9,103.5,96.60,
Dec-11,99.8,103.5,96.50,
Jan-12,99.5,103.5,96.20,
Feb-12,99.6,103.5,96.26,
Mar-12,99.5,103.5,96.15,
Apr-12,99.9,103.5,96.55,
May-12,99.9,103.5,96.53,
Jun-12,100.1,103.5,96.76,
Jul-12,100.0,103.5,96.64,
Aug-12,100.1,103.5,96.72,
Sep-12,99.5,103.5,96.16,
Oct-12,99.0,103.5,95.72,
Nov-12,99.1,103.5,95.76,
Dec-12,98.6,103.5,95.25,
Jan-13,98.3,103.5,95.03,
Feb-13,98.3,103.5,94.99,
Mar-13,96.3,103.5,93.11,
Apr-13,101.3,103.5,97.92,
May-13,99.1,103.5,95.76,
Jun-13,98.7,103.5,95.39,
Jul-13,98.4,103.5,95.13,
Aug-13,98.2,103.5,94.95,
Sep-13,98.1,103.5,94.86,
