year,Total job creation rate,Job creation rate (Entrants),Job creation rate (Incumbents),Total job destruction rate,Job destruction rate (Closing),Job destruction rate (Incumbents),Net job creation rate,Net job creation rate (Entrants and Closing),Net job creation rate (Incumbents),Total job reallocation rate,Job reallocation rate (Entrants and Closing),Job reallocation rate (Incumbents)
2001,16.22%,4.67%,11.56%,14.48%,4.75%,9.72%,1.74%,-0.09%,1.83%,30.70%,9.42%,21.28%
2002,13.01%,3.08%,9.93%,12.73%,3.84%,8.89%,0.28%,-0.76%,1.04%,25.74%,6.92%,18.82%
2003,13.80%,5.92%,7.89%,12.06%,4.41%,7.66%,1.74%,1.51%,0.23%,25.87%,10.32%,15.54%
2004,14.23%,4.18%,10.05%,12.67%,4.02%,8.65%,1.56%,0.16%,1.41%,26.89%,8.20%,18.70%
2005,12.96%,4.01%,8.95%,12.29%,5.01%,7.28%,0.66%,-1.00%,1.67%,25.25%,9.03%,16.23%
2006,11.66%,3.75%,7.91%,11.59%,3.69%,7.90%,0.07%,0.06%,0.01%,23.25%,7.45%,15.81%
2007,11.84%,3.95%,7.89%,10.37%,3.21%,7.16%,1.47%,0.74%,0.73%,22.21%,7.15%,15.05%
2008,10.75%,3.37%,7.38%,10.75%,3.58%,7.17%,0.00%,-0.21%,0.21%,21.50%,6.95%,14.55%
2009,10.27%,2.90%,7.37%,10.36%,3.54%,6.81%,-0.08%,-0.64%,0.56%,20.63%,6.44%,14.19%
2010,10.12%,3.51%,6.61%,11.74%,3.67%,8.07%,-1.62%,-0.16%,-1.46%,21.86%,7.19%,14.68%
2011,9.76%,3.28%,6.48%,9.80%,3.79%,6.00%,-0.04%,-0.52%,0.48%,19.56%,7.07%,12.49%
2012,11.71%,3.59%,8.12%,10.14%,2.77%,7.37%,1.56%,0.82%,0.75%,21.85%,6.37%,15.48%
2013,11.39%,4.31%,7.08%,9.87%,3.13%,6.74%,1.51%,1.18%,0.34%,21.26%,7.44%,13.82%
2014,10.56%,3.92%,6.64%,8.77%,3.04%,5.74%,1.79%,0.88%,0.90%,19.34%,6.96%,12.38%
2015,11.30%,4.51%,6.79%,9.01%,2.64%,6.37%,2.28%,1.87%,0.41%,20.31%,7.15%,13.16%
2016,11.50%,4.47%,7.03%,9.38%,3.04%,6.34%,2.13%,1.44%,0.69%,20.88%,7.51%,13.37%
2017,11.29%,4.56%,6.73%,9.34%,3.06%,6.28%,1.95%,1.50%,0.45%,20.63%,7.62%,13.01%
2018,11.68%,4.58%,7.10%,10.48%,3.19%,7.29%,1.20%,1.39%,-0.18%,22.16%,7.77%,14.39%
2019,10.77%,4.12%,6.65%,9.82%,3.32%,6.50%,0.95%,0.81%,0.14%,20.59%,7.44%,13.15%
2020,9.43%,3.44%,5.99%,9.54%,3.39%,6.15%,-0.11%,0.05%,-0.17%,18.97%,6.83%,12.14%
2021,9.05%,3.51%,5.54%,9.37%,2.96%,6.41%,-0.33%,0.55%,-0.87%,18.42%,6.47%,11.95%
2022,11.17%,3.75%,7.42%,9.46%,2.98%,6.49%,1.70%,0.77%,0.93%,20.63%,6.73%,13.90%
2023,11.10%,3.12%,7.97%,9.47%,3.39%,6.08%,1.63%,-0.26%,1.89%,20.57%,6.51%,14.06%
