"Title","UK Whole Economy: Output per hour worked SA: Index 2022 = 100"
"CDID","LZVB"
"Source dataset ID","PRDY"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-08-2025"
"Next release","13 November 2025"
"Important notes",
"1971","42.5"
"1972","43.7"
"1973","45.8"
"1974","45.0"
"1975","45.2"
"1976","47.0"
"1977","47.7"
"1978","49.2"
"1979","50.4"
"1980","50.5"
"1981","52.7"
"1982","55.0"
"1983","57.9"
"1984","57.6"
"1985","59.2"
"1986","60.7"
"1987","62.5"
"1988","63.5"
"1989","63.2"
"1990","63.9"
"1991","65.9"
"1992","68.0"
"1993","70.4"
"1994","71.6"
"1995","72.2"
"1996","73.7"
"1997","75.4"
"1998","77.4"
"1999","79.2"
"2000","82.5"
"2001","83.8"
"2002","85.2"
"2003","87.5"
"2004","88.7"
"2005","90.2"
"2006","91.9"
"2007","93.4"
"2008","92.9"
"2009","91.2"
"2010","92.9"
"2011","93.7"
"2012","93.4"
"2013","93.2"
"2014","93.6"
"2015","94.0"
"2016","94.7"
"2017","96.2"
"2018","96.7"
"2019","96.9"
"2020","98.1"
"2021","99.5"
"2022","100.0"
"2023","99.6"
"2024","98.8"
"1971 Q1","41.5"
"1971 Q2","42.2"
"1971 Q3","43.0"
"1971 Q4","43.3"
"1972 Q1","42.9"
"1972 Q2","43.8"
"1972 Q3","43.9"
"1972 Q4","44.3"
"1973 Q1","46.0"
"1973 Q2","46.0"
"1973 Q3","45.6"
"1973 Q4","45.4"
"1974 Q1","44.3"
"1974 Q2","45.0"
"1974 Q3","45.5"
"1974 Q4","45.0"
"1975 Q1","45.4"
"1975 Q2","44.9"
"1975 Q3","44.9"
"1975 Q4","45.7"
"1976 Q1","46.5"
"1976 Q2","46.5"
"1976 Q3","47.0"
"1976 Q4","47.8"
"1977 Q1","48.0"
"1977 Q2","47.3"
"1977 Q3","47.5"
"1977 Q4","48.2"
"1978 Q1","48.6"
"1978 Q2","49.0"
"1978 Q3","49.6"
"1978 Q4","49.7"
"1979 Q1","49.3"
"1979 Q2","51.3"
"1979 Q3","50.3"
"1979 Q4","50.7"
"1980 Q1","50.4"
"1980 Q2","50.1"
"1980 Q3","50.6"
"1980 Q4","50.7"
"1981 Q1","51.4"
"1981 Q2","52.3"
"1981 Q3","53.2"
"1981 Q4","53.8"
"1982 Q1","53.9"
"1982 Q2","54.8"
"1982 Q3","55.4"
"1982 Q4","56.1"
"1983 Q1","57.6"
"1983 Q2","57.9"
"1983 Q3","58.2"
"1983 Q4","58.1"
"1984 Q1","58.2"
"1984 Q2","57.2"
"1984 Q3","57.2"
"1984 Q4","57.8"
"1985 Q1","58.4"
"1985 Q2","59.6"
"1985 Q3","59.5"
"1985 Q4","59.4"
"1986 Q1","59.8"
"1986 Q2","60.5"
"1986 Q3","60.9"
"1986 Q4","61.6"
"1987 Q1","61.7"
"1987 Q2","62.3"
"1987 Q3","63.0"
"1987 Q4","63.1"
"1988 Q1","63.4"
"1988 Q2","63.2"
"1988 Q3","63.5"
"1988 Q4","63.6"
"1989 Q1","63.3"
"1989 Q2","63.2"
"1989 Q3","63.2"
"1989 Q4","63.2"
"1990 Q1","63.5"
"1990 Q2","64.0"
"1990 Q3","63.8"
"1990 Q4","64.3"
"1991 Q1","64.7"
"1991 Q2","65.6"
"1991 Q3","66.4"
"1991 Q4","67.0"
"1992 Q1","67.3"
"1992 Q2","67.3"
"1992 Q3","68.2"
"1992 Q4","69.3"
"1993 Q1","69.6"
"1993 Q2","70.0"
"1993 Q3","70.7"
"1993 Q4","71.2"
"1994 Q1","71.3"
"1994 Q2","71.8"
"1994 Q3","71.7"
"1994 Q4","71.5"
"1995 Q1","71.9"
"1995 Q2","71.8"
"1995 Q3","72.6"
"1995 Q4","72.5"
"1996 Q1","73.2"
"1996 Q2","73.4"
"1996 Q3","73.8"
"1996 Q4","74.4"
"1997 Q1","74.7"
"1997 Q2","75.0"
"1997 Q3","75.4"
"1997 Q4","76.5"
"1998 Q1","76.8"
"1998 Q2","77.3"
"1998 Q3","77.3"
"1998 Q4","78.3"
"1999 Q1","78.4"
"1999 Q2","78.5"
"1999 Q3","79.5"
"1999 Q4","80.5"
"2000 Q1","82.5"
"2000 Q2","82.2"
"2000 Q3","82.7"
"2000 Q4","82.6"
"2001 Q1","83.6"
"2001 Q2","83.4"
"2001 Q3","83.9"
"2001 Q4","84.2"
"2002 Q1","84.5"
"2002 Q2","85.3"
"2002 Q3","85.3"
"2002 Q4","85.9"
"2003 Q1","86.5"
"2003 Q2","87.0"
"2003 Q3","87.7"
"2003 Q4","88.9"
"2004 Q1","88.2"
"2004 Q2","89.0"
"2004 Q3","89.0"
"2004 Q4","88.5"
"2005 Q1","89.2"
"2005 Q2","90.1"
"2005 Q3","90.3"
"2005 Q4","91.2"
"2006 Q1","91.5"
"2006 Q2","91.9"
"2006 Q3","92.0"
"2006 Q4","92.0"
"2007 Q1","92.8"
"2007 Q2","93.2"
"2007 Q3","93.6"
